time,emotion,conf
21:04:17,Fear,0.8016347289085388
21:04:17,Fear,0.565357659182409
21:04:18,Fear,0.5520236225142254
21:04:18,Neutral,0.8401329517364502
21:04:18,Neutral,0.9713086485862732
21:04:19,Neutral,0.9999955892562866
21:04:19,Neutral,0.9999957680699687
21:04:19,Neutral,0.98240065574646
21:04:20,Neutral,0.5181237459182739
21:04:20,Neutral,0.9698013663291931
21:04:20,Neutral,0.8807545900344849
21:04:21,Neutral,0.9439736671479144
21:04:21,Neutral,0.955673098564148
21:04:21,Neutral,0.7467672673921149
21:04:22,Sad,0.7443096041679382
21:04:22,Sad,0.8235071897506714
21:04:22,Neutral,0.5649178960870442
21:04:23,Sad,0.6755435257502168
21:04:23,Sad,0.8038138747215271
21:04:23,Sad,0.648323118686676
21:04:24,Neutral,0.7751014828681946
21:04:24,Neutral,0.8505818843841553
21:04:24,Neutral,0.9095169793983673
21:04:25,Happy,0.9846187233924866
21:04:25,Happy,0.9394751751110061
21:04:26,Happy,0.9493209689450842
21:04:26,Happy,0.9182776808738708
21:04:26,Happy,0.9440829157829285
21:04:27,Happy,0.9700592756271362
21:04:27,Happy,0.9412422706177557
21:04:27,Neutral,0.9349038600921631
21:04:28,Fear,0.6818034865621908
21:04:28,Fear,0.6357936263084412
21:04:28,Neutral,0.5076419115066528
21:04:29,Happy,0.9898876547813416
21:04:29,Happy,0.996492326259613
21:04:29,Happy,0.9985377788543701
21:04:30,Happy,0.9990286827087402
21:04:30,Happy,0.9992120265021356
21:04:30,Neutral,0.8702678084373474
21:04:31,Neutral,0.8784482623996422
21:04:31,Neutral,0.5465038418769836
21:04:31,Neutral,0.5962037329430898
21:04:32,Neutral,0.8195047378540039
21:04:32,Sad,0.5156081914901733
21:04:32,Angry,0.3910201658034522
21:04:33,Sad,0.5153011679649353
21:04:33,Neutral,0.5559448003768921
21:04:33,Neutral,0.8725538849830627
21:04:34,Neutral,0.8975542187690735
21:04:34,Happy,0.9984475374221802
21:04:34,Happy,0.998867332867821
21:04:35,Happy,0.998286783695221
21:04:35,Happy,0.9955102205276489
21:04:35,Happy,0.9968768358230591
21:04:36,Neutral,0.959604923772225
21:04:36,Neutral,0.9978140592575073
21:04:36,Neutral,0.9764615297317505
21:04:37,Neutral,0.9879281513648124
21:04:37,Neutral,0.9900570499965012
21:04:37,Neutral,0.5850204229354858
21:04:38,Sad,0.7214435602955294
21:04:38,Neutral,0.9815266750423103
21:04:38,Sad,0.5153999924659729
21:04:39,Neutral,0.8039690256118774
21:04:39,Neutral,0.7743369340896606
21:04:39,Neutral,0.9300752282142639
21:04:40,Happy,0.9999573230794283
21:04:40,Happy,0.9999679327011108
21:04:40,Happy,0.9996762871549301
21:04:41,Happy,0.9997665286064148
21:04:41,Happy,0.9997400641751213
21:04:41,Happy,0.9997448324852982
21:04:42,Happy,0.999817430973053
21:04:42,Happy,0.9992715716362
21:04:42,Neutral,0.9821369073227754
21:04:43,Neutral,0.9983886480331421
21:04:43,Happy,0.9555233120918274
21:04:43,Happy,0.9313700795173645
21:04:44,Happy,0.9504573345184326
21:04:44,Happy,0.9713044728403655
21:04:44,Neutral,0.7554160356521606
21:04:45,Sad,0.527733561070733
21:04:45,Neutral,0.6772142456301598
21:04:45,Neutral,0.6148664355278015
21:04:46,Neutral,0.9991009830892672
21:04:46,Neutral,0.9991387724363072
21:04:47,Neutral,0.9946888691557801
21:04:47,Neutral,0.9683402738976805
21:04:47,Sad,0.8954368233680725
21:04:48,Surprise,0.9985336065292358
21:04:48,Fear,0.9890045523643494
21:04:48,Fear,0.45611357427320326
21:04:49,Fear,0.5359055399894714
21:04:49,Fear,0.8554295897483826
21:04:49,Fear,0.8782553672790527
21:04:50,Fear,0.7275739149793335
21:04:50,Neutral,0.4780563712120056
21:04:50,Angry,0.43851145735451325
21:04:51,Sad,0.5482338666915894
21:04:51,Angry,0.5859736306635893
21:04:51,Fear,0.8510826826095581
21:04:52,Surprise,0.6237861514091492
21:04:52,Fear,0.6718884706497192
21:04:52,Happy,0.9994989633560181
21:04:53,Fear,0.9822825789451599
21:04:53,Neutral,0.7555921965131526
21:04:53,Neutral,0.941104825800945
21:04:54,Neutral,0.9831098318099976
21:04:54,Neutral,0.9885137074299877
21:04:54,Fear,0.7770737409591675
21:04:55,Surprise,0.9288976746140524
21:04:55,Neutral,0.9977707862854004
21:04:55,Neutral,0.9744979769589928
21:04:56,Neutral,0.8715646266937256
21:04:56,Sad,0.8844815630338713
21:04:56,Neutral,0.5243999987125395
21:04:57,Neutral,0.5307626444555905
21:04:57,Neutral,0.5990210175514221
21:04:57,Neutral,0.869171679019928
21:04:58,Neutral,0.9292473196983337
21:04:58,Neutral,0.5921067352358541
21:04:58,Neutral,0.9860803501510204
21:04:59,Surprise,0.8345534801483154
21:04:59,Surprise,0.9537122900828969
21:04:59,Surprise,0.9607475996017456
21:05:00,Surprise,0.9226239919662476
21:05:00,Surprise,0.5108985304832458
21:05:00,Surprise,0.8635845184326172
21:05:01,Neutral,0.9713890518413844
21:05:01,Surprise,0.5952005741119727
21:05:01,Neutral,0.9918760061264038
21:05:02,Neutral,0.9680967311916787
21:05:02,Surprise,0.8021186590194702
21:05:03,Neutral,0.8031517863273621
21:05:03,Fear,0.49354702195805444
21:05:03,Neutral,0.943223052409059
21:05:04,Neutral,0.85567597814512
21:05:04,Surprise,0.7804833650588989
21:05:04,Neutral,0.9888874875172958
21:05:05,Neutral,0.5098561644554138
21:05:05,Surprise,0.9212390184402466
21:05:05,Neutral,0.9539902806282043
